fifty_two_week_low,fifty_day_moving_avg,price,price_book_ratio,volume,market_cap,dividend_yield,ebitda,change,dividend_per_share,stock_exchange,two_hundred_day_moving_avg,fifty_two_week_high,price_sales_ratio,price_earnings_growth_ratio,earnings_per_share,short_ratio,avg_daily_volume,price_earnings_ratio,book_value,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
388.87,597.138,645.57,4.64,12517273,556.1B,1.92,57.795B,-1.78,12.44,"NasdaqNM",552.381,651.26,3.17,0.96,41.727,1.60,9959240,15.51,139.46,
