fifty_two_week_low,fifty_day_moving_avg,price,price_book_ratio,volume,market_cap,dividend_yield,ebitda,change,dividend_per_share,stock_exchange,two_hundred_day_moving_avg,fifty_two_week_high,price_sales_ratio,price_earnings_growth_ratio,earnings_per_share,short_ratio,avg_daily_volume,price_earnings_ratio,book_value,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
5.44,7.4586,7.66,1.10,6359971,3.975B,N/A,-2.256B,-0.03,0.00,"NasdaqNM",8.1032,15.09,0.59,N/A,-11.183,11.20,12932200,N/A,6.986,
